window_ID,timeStamp,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz
1,1635234073.2306762,-8.435969549560546,-4.479551306152343,-2.105700360107422,-1.618320610687023,1.0229007633587786,1.251908396946565,9.780896490205818
1,1635234073.318099,-8.437166650390624,-4.477157104492187,-2.096123553466797,-1.7099236641221374,0.8854961832061069,1.1603053435114503,9.778775525400247
1,1635234073.3649623,-8.451531860351562,-4.477157104492187,-2.081758343505859,-1.8625954198473282,0.6106870229007634,1.099236641221374,9.78810729025784
1,1635234073.458691,-8.437166650390624,-4.478354205322265,-2.0781670410156248,-1.8931297709923665,0.42748091603053434,1.1450381679389312,9.775490561867215
1,1635234073.5211763,-8.409633331298828,-4.477157104492187,-2.070984436035156,-1.9236641221374047,0.2900763358778626,1.2061068702290076,9.749658714001066
1,1635234073.5211763,-8.389282617187499,-4.475960003662109,-2.068590234375,-1.9694656488549618,0.21374045801526717,1.251908396946565,9.73105062894952
1,1635234073.5367982,-8.391676818847655,-4.46279189453125,-2.070984436035156,-2.015267175572519,0.33587786259541985,1.3893129770992367,9.727575641452436
1,1635234073.55242,-8.391676818847655,-4.450820886230469,-2.0757728393554684,-2.045801526717557,0.4122137404580153,1.5267175572519085,9.723110576039765
2,1635234072.7388155,-8.371326104736328,-4.504690423583984,-2.059013427734375,-0.3511450381679389,2.1374045801526718,1.5267175572519085,9.726812060472826
2,1635234072.770058,-8.374917407226562,-4.50109912109375,-2.068590234375,-0.4122137404580153,2.16793893129771,1.465648854961832,9.730272372011434
2,1635234072.848139,-8.388085516357421,-4.491522314453125,-2.0733786376953125,-0.5190839694656488,2.1526717557251906,1.3893129770992367,9.738205702602857
2,1635234072.8950033,-8.422801440429687,-4.485536810302734,-2.086546746826172,-0.8244274809160306,2.030534351145038,1.282442748091603,9.768178023980528
2,1635234072.9418678,-8.443152154541016,-4.486733911132812,-2.090138049316406,-0.9923664122137404,1.9083969465648856,1.251908396946565,9.787046365438345
2,1635234072.9887316,-8.461108666992187,-4.487931011962891,-2.098517755126953,-1.1297709923664123,1.7557251908396947,1.251908396946565,9.8048794694974
2,1635234073.0668664,-8.463502868652343,-4.4819455078125,-2.098517755126953,-1.3893129770992367,1.4045801526717556,1.282442748091603,9.804207928806393
2,1635234073.1293519,-8.450334759521484,-4.474762902832031,-2.105700360107422,-1.4961832061068703,1.2061068702290076,1.297709923664122,9.791099764127383
2,1635234073.2306762,-8.435969549560546,-4.479551306152343,-2.105700360107422,-1.618320610687023,1.0229007633587786,1.251908396946565,9.780896490205818
2,1635234073.318099,-8.437166650390624,-4.477157104492187,-2.096123553466797,-1.7099236641221374,0.8854961832061069,1.1603053435114503,9.778775525400247
2,1635234073.3649623,-8.451531860351562,-4.477157104492187,-2.081758343505859,-1.8625954198473282,0.6106870229007634,1.099236641221374,9.78810729025784
2,1635234073.458691,-8.437166650390624,-4.478354205322265,-2.0781670410156248,-1.8931297709923665,0.42748091603053434,1.1450381679389312,9.775490561867215
2,1635234073.5211763,-8.409633331298828,-4.477157104492187,-2.070984436035156,-1.9236641221374047,0.2900763358778626,1.2061068702290076,9.749658714001066
2,1635234073.5211763,-8.389282617187499,-4.475960003662109,-2.068590234375,-1.9694656488549618,0.21374045801526717,1.251908396946565,9.73105062894952
